"timestamp","message"
"2026-03-02T13:22:52.520667Z","[13:22:52] Trading loop iteration 841"
"2026-03-02T13:22:52.532658Z","[13:22:52] Fetched 10000 bars - Processing..."
"2026-03-02T13:23:05.790228Z","[13:23:05] Signal balance: Bullish=2521, Bearish=2616"
"2026-03-02T13:23:05.909890Z","[13:23:05] Data processed. Shape reduced from (10000, 25) to (9967, 25)"
"2026-03-02T13:23:37.202706Z","[13:23:37] Last bar median predicted return: 0.0000128"
"2026-03-02T13:23:37.207705Z","[13:23:37] Last bar signals: Bullish=False, Bearish=True"
"2026-03-02T13:23:37.211707Z","[13:23:37] Current open trades: 0"
"2026-03-02T13:23:37.214706Z","[13:23:37] ROC (EWMA-vol): 0.27 (delta=0.0000016, sigma=0.0000030)"
"2026-03-02T13:23:37.216707Z","[13:23:37] No static trade: |median| 0.0000128 not in ranges"
"2026-03-02T13:23:37.218705Z","[13:23:37] No trade executed"
"2026-03-02T13:23:37.221706Z","[13:23:37] About to save prediction..."
"2026-03-02T13:23:37.227706Z","[13:23:37] Attempting to save prediction to: predictions_2026-03-02.csv"
"2026-03-02T13:23:37.243252Z","[13:23:37] Created new predictions CSV"
"2026-03-02T13:23:37.249245Z","[13:23:37] Prediction saved successfully to CSV"
"2026-03-02T13:23:37.258247Z","[13:23:37] Prediction generated: median_return=0.0000128, action=None, executed=False, roc=0.27, flip_consec=2, pause_flips=False"
"2026-03-02T13:24:37.269894Z","[13:24:37] Trading loop iteration 842"
"2026-03-02T13:24:37.282668Z","[13:24:37] Fetched 10000 bars - Processing..."
"2026-03-02T13:24:57.885162Z","[13:24:57] Signal balance: Bullish=2520, Bearish=2616"
"2026-03-02T13:24:57.900801Z","[13:24:57] Data processed. Shape reduced from (10000, 25) to (9967, 25)"
"2026-03-02T13:25:42.609266Z","[13:25:42] Last bar median predicted return: 0.0000057"
"2026-03-02T13:25:42.613269Z","[13:25:42] Last bar signals: Bullish=False, Bearish=True"
"2026-03-02T13:25:42.617269Z","[13:25:42] Current open trades: 0"
"2026-03-02T13:25:42.624265Z","[13:25:42] ROC (EWMA-vol): -0.49 (delta=-0.0000030, sigma=0.0000030)"
"2026-03-02T13:25:42.629265Z","[13:25:42] No static trade: |median| 0.0000057 not in ranges"
"2026-03-02T13:25:42.640753Z","[13:25:42] No trade executed"
"2026-03-02T13:25:42.644749Z","[13:25:42] About to save prediction..."
"2026-03-02T13:25:42.646750Z","[13:25:42] Attempting to save prediction to: predictions_2026-03-02.csv"
"2026-03-02T13:25:42.667105Z","[13:25:42] Appended to existing predictions CSV"
"2026-03-02T13:25:42.673632Z","[13:25:42] Prediction saved successfully to CSV"
"2026-03-02T13:25:42.673632Z","[13:25:42] Prediction generated: median_return=0.0000057, action=None, executed=False, roc=-0.49, flip_consec=2, pause_flips=False"
"2026-03-02T13:26:42.691416Z","[13:26:42] Trading loop iteration 843"
"2026-03-02T13:26:42.707637Z","[13:26:42] Fetched 10000 bars - Processing..."
"2026-03-02T13:26:52.730574Z","[13:26:52] Signal balance: Bullish=2522, Bearish=2618"
"2026-03-02T13:26:52.746222Z","[13:26:52] Data processed. Shape reduced from (10000, 25) to (9967, 25)"
"2026-03-02T13:27:00.547937Z","[13:27:00] Last bar median predicted return: -0.0000057"
"2026-03-02T13:27:00.547937Z","[13:27:00] Last bar signals: Bullish=False, Bearish=True"
"2026-03-02T13:27:00.547937Z","[13:27:00] Current open trades: 0"
"2026-03-02T13:27:00.562468Z","[13:27:00] ROC (EWMA-vol): -0.53 (delta=-0.0000081, sigma=0.0000076)"
"2026-03-02T13:27:00.562468Z","[13:27:00] No static trade: |median| 0.0000057 not in ranges"
"2026-03-02T13:27:00.562468Z","[13:27:00] No trade executed"
"2026-03-02T13:27:00.574009Z","[13:27:00] About to save prediction..."
"2026-03-02T13:27:00.574009Z","[13:27:00] Attempting to save prediction to: predictions_2026-03-02.csv"
"2026-03-02T13:27:00.594462Z","[13:27:00] Appended to existing predictions CSV"
"2026-03-02T13:27:00.605004Z","[13:27:00] Prediction saved successfully to CSV"
"2026-03-02T13:27:00.610539Z","[13:27:00] Prediction generated: median_return=-0.0000057, action=None, executed=False, roc=-0.53, flip_consec=2, pause_flips=False"
"2026-03-02T13:28:00.618316Z","[13:28:00] Trading loop iteration 844"
"2026-03-02T13:28:00.752265Z","[13:28:00] Fetched 10000 bars - Processing..."
"2026-03-02T13:28:15.795374Z","[13:28:15] Signal balance: Bullish=2521, Bearish=2616"
"2026-03-02T13:28:15.810999Z","[13:28:15] Data processed. Shape reduced from (10000, 25) to (9967, 25)"
"2026-03-02T13:28:24.177180Z","[13:28:24] Last bar median predicted return: -0.0000150"
"2026-03-02T13:28:24.192845Z","[13:28:24] Last bar signals: Bullish=False, Bearish=False"
"2026-03-02T13:28:24.192845Z","[13:28:24] Current open trades: 0"
"2026-03-02T13:28:24.192845Z","[13:28:24] ROC (EWMA-vol): -0.45 (delta=-0.0000095, sigma=0.0000106)"
"2026-03-02T13:28:24.199378Z","[13:28:24] Normal range trade: SELL (|median| 0.0000150 in normal ranges, |ROC| 0.45 <= 0.50)"
"2026-03-02T13:28:24.199378Z","[13:28:24] Weekly profit (USD): 12710.04, Starting balance (USD): 11615.24, Profit %: 109.43"
"2026-03-02T13:28:24.199378Z","[13:28:24] Positive profit: Multiplier 0.25 (|perc| 109.43)"
"2026-03-02T13:28:24.208903Z","[13:28:24] Trail triggered: drop 28.11% >= 20.00% - halving multiplier to 0.12"
"2026-03-02T13:28:24.208903Z","[13:28:24] Effective base lot: 0.01"
"2026-03-02T13:28:24.208903Z","[13:28:24] Detected point value: 0.001, digits: 3, pip_size: 0.01"
"2026-03-02T13:28:24.208903Z","[13:28:24] Computed offsets: SL=3.500, TP=7.000"
"2026-03-02T13:28:24.208903Z","[13:28:24] Final SL: 5404.049, TP: 5393.549 for SELL at 5400.549"
"2026-03-02T13:28:24.519593Z","[13:28:24] Order placed: SELL 0.3 lots at 5400.549"
"2026-03-02T13:28:24.525591Z","[13:28:24] Normal/ROC trade: Reset flip pause/counter"
"2026-03-02T13:28:24.530122Z","[13:28:24] About to save prediction..."
"2026-03-02T13:28:24.534109Z","[13:28:24] Attempting to save prediction to: predictions_2026-03-02.csv"
"2026-03-02T13:28:24.551611Z","[13:28:24] Appended to existing predictions CSV"
"2026-03-02T13:28:24.558614Z","[13:28:24] Prediction saved successfully to CSV"
"2026-03-02T13:28:24.562607Z","[13:28:24] Prediction generated: median_return=-0.0000150, action=SELL, executed=True, roc=-0.45, flip_consec=0, pause_flips=False"
"2026-03-02T13:29:24.597221Z","[13:29:24] Trading loop iteration 845"
"2026-03-02T13:29:24.682535Z","[13:29:24] Fetched 10000 bars - Processing..."
"2026-03-02T13:29:41.200218Z","[13:29:41] Signal balance: Bullish=2484, Bearish=2619"
"2026-03-02T13:29:41.226868Z","[13:29:41] Data processed. Shape reduced from (10000, 25) to (9967, 25)"
"2026-03-02T13:29:55.888684Z","[13:29:55] Last bar median predicted return: -0.0000192"
"2026-03-02T13:29:55.912294Z","[13:29:55] Last bar signals: Bullish=False, Bearish=True"
"2026-03-02T13:29:55.916875Z","[13:29:55] Current open trades: 1"
"2026-03-02T13:29:55.935187Z","[13:29:55] ROC (EWMA-vol): -0.37 (delta=-0.0000071, sigma=0.0000096)"
"2026-03-02T13:29:55.963830Z","[13:29:55] No static trade: |median| 0.0000192 not in ranges"
"2026-03-02T13:29:55.990816Z","[13:29:55] No trade executed"
"2026-03-02T13:29:56.005105Z","[13:29:56] About to save prediction..."
"2026-03-02T13:29:56.010901Z","[13:29:56] Attempting to save prediction to: predictions_2026-03-02.csv"
"2026-03-02T13:29:56.044835Z","[13:29:56] Appended to existing predictions CSV"
"2026-03-02T13:29:56.062783Z","[13:29:56] Prediction saved successfully to CSV"
"2026-03-02T13:29:56.069784Z","[13:29:56] Prediction generated: median_return=-0.0000192, action=None, executed=False, roc=-0.37, flip_consec=0, pause_flips=False"
"2026-03-02T13:30:56.199902Z","[13:30:56] Trading loop iteration 846"
"2026-03-02T13:30:56.252866Z","[13:30:56] Fetched 10000 bars - Processing..."
"2026-03-02T13:31:37.177630Z","[13:31:37] Signal balance: Bullish=2523, Bearish=2615"
"2026-03-02T13:31:37.250848Z","[13:31:37] Data processed. Shape reduced from (10000, 25) to (9967, 25)"
"2026-03-02T13:33:32.102355Z","[13:33:32] Last bar median predicted return: -0.0000227"
"2026-03-02T13:33:32.118987Z","[13:33:32] Last bar signals: Bullish=False, Bearish=True"
"2026-03-02T13:33:32.124994Z","[13:33:32] Current open trades: 0"
"2026-03-02T13:33:32.130992Z","[13:33:32] ROC (EWMA-vol): -0.38 (delta=-0.0000048, sigma=0.0000064)"
"2026-03-02T13:33:32.134986Z","[13:33:32] Flip range trade: BUY (|median| 0.0000227 in flip ranges, not paused)"
"2026-03-02T13:33:32.138986Z","[13:33:32] Weekly profit (USD): 12605.04, Starting balance (USD): 11615.24, Profit %: 108.52"
"2026-03-02T13:33:32.148533Z","[13:33:32] Positive profit: Multiplier 0.25 (|perc| 108.52)"
"2026-03-02T13:33:32.155533Z","[13:33:32] Trail triggered: drop 29.01% >= 20.00% - halving multiplier to 0.12"
"2026-03-02T13:33:32.163537Z","[13:33:32] Effective base lot: 0.01"
"2026-03-02T13:33:32.166533Z","[13:33:32] Detected point value: 0.001, digits: 3, pip_size: 0.01"
"2026-03-02T13:33:32.169534Z","[13:33:32] Computed offsets: SL=3.500, TP=7.000"
"2026-03-02T13:33:32.171534Z","[13:33:32] Final SL: 5403.322, TP: 5413.822 for BUY at 5406.822"
"2026-03-02T13:33:32.450013Z","[13:33:32] Order placed: BUY 0.3 lots at 5406.822"
"2026-03-02T13:33:32.468291Z","[13:33:32] About to save prediction..."
"2026-03-02T13:33:32.474294Z","[13:33:32] Attempting to save prediction to: predictions_2026-03-02.csv"
"2026-03-02T13:33:32.500406Z","[13:33:32] Appended to existing predictions CSV"
"2026-03-02T13:33:32.512405Z","[13:33:32] Prediction saved successfully to CSV"
"2026-03-02T13:33:32.527063Z","[13:33:32] Prediction generated: median_return=-0.0000227, action=BUY, executed=True, roc=-0.38, flip_consec=1, pause_flips=False"
"2026-03-02T13:34:32.535714Z","[13:34:32] Trading loop iteration 847"
"2026-03-02T13:34:32.554482Z","[13:34:32] Fetched 10000 bars - Processing..."
"2026-03-02T13:35:09.680509Z","[13:35:09] Signal balance: Bullish=2519, Bearish=2616"
"2026-03-02T13:35:09.701505Z","[13:35:09] Data processed. Shape reduced from (10000, 25) to (9967, 25)"
"2026-03-02T13:37:13.419039Z","[13:37:13] Last bar median predicted return: -0.0000319"
"2026-03-02T13:37:13.541748Z","[13:37:13] Last bar signals: Bullish=False, Bearish=False"
"2026-03-02T13:37:13.557545Z","[13:37:13] Current open trades: 0"
"2026-03-02T13:37:13.562548Z","[13:37:13] ROC (EWMA-vol): -0.52 (delta=-0.0000065, sigma=0.0000062)"
"2026-03-02T13:37:13.568550Z","[13:37:13] No static trade: |median| 0.0000319 not in ranges"
"2026-03-02T13:37:13.572548Z","[13:37:13] No trade executed"
"2026-03-02T13:37:13.574546Z","[13:37:13] About to save prediction..."
"2026-03-02T13:37:13.578547Z","[13:37:13] Attempting to save prediction to: predictions_2026-03-02.csv"
"2026-03-02T13:37:13.599626Z","[13:37:13] Appended to existing predictions CSV"
"2026-03-02T13:37:13.617292Z","[13:37:13] Prediction saved successfully to CSV"
"2026-03-02T13:37:13.622284Z","[13:37:13] Prediction generated: median_return=-0.0000319, action=None, executed=False, roc=-0.52, flip_consec=1, pause_flips=False"
"2026-03-02T13:38:13.634603Z","[13:38:13] Trading loop iteration 848"
"2026-03-02T13:38:13.666970Z","[13:38:13] Fetched 10000 bars - Processing..."
"2026-03-02T13:38:50.159743Z","[13:38:50] Signal balance: Bullish=2514, Bearish=2615"
"2026-03-02T13:38:50.242056Z","[13:38:50] Data processed. Shape reduced from (10000, 25) to (9967, 25)"
"2026-03-02T13:40:55.818355Z","[13:40:55] Last bar median predicted return: -0.0000328"
"2026-03-02T13:40:55.826351Z","[13:40:55] Last bar signals: Bullish=False, Bearish=False"
"2026-03-02T13:40:55.829350Z","[13:40:55] Current open trades: 0"
"2026-03-02T13:40:55.838273Z","[13:40:55] ROC (EWMA-vol): -0.34 (delta=-0.0000039, sigma=0.0000058)"
"2026-03-02T13:40:55.841306Z","[13:40:55] No static trade: |median| 0.0000328 not in ranges"
"2026-03-02T13:40:55.844271Z","[13:40:55] No trade executed"
"2026-03-02T13:40:55.848272Z","[13:40:55] About to save prediction..."
"2026-03-02T13:40:55.858273Z","[13:40:55] Attempting to save prediction to: predictions_2026-03-02.csv"
"2026-03-02T13:40:55.904689Z","[13:40:55] Appended to existing predictions CSV"
"2026-03-02T13:40:55.912179Z","[13:40:55] Prediction saved successfully to CSV"
"2026-03-02T13:40:55.918180Z","[13:40:55] Prediction generated: median_return=-0.0000328, action=None, executed=False, roc=-0.34, flip_consec=1, pause_flips=False"
"2026-03-02T13:41:55.922894Z","[13:41:55] Trading loop iteration 849"
"2026-03-02T13:41:55.934176Z","[13:41:55] Fetched 10000 bars - Processing..."
"2026-03-02T13:42:28.330584Z","[13:42:28] Signal balance: Bullish=2514, Bearish=2616"
"2026-03-02T13:42:28.385128Z","[13:42:28] Data processed. Shape reduced from (10000, 25) to (9967, 25)"
"2026-03-02T13:45:06.636448Z","[13:45:06] Last bar median predicted return: -0.0000299"
"2026-03-02T13:45:07.004062Z","[13:45:07] Last bar signals: Bullish=False, Bearish=True"
"2026-03-02T13:45:07.152185Z","[13:45:07] Current open trades: 0"
"2026-03-02T13:45:07.170183Z","[13:45:07] ROC (EWMA-vol): -0.06 (delta=-0.0000005, sigma=0.0000040)"
"2026-03-02T13:45:07.174185Z","[13:45:07] Normal range trade: SELL (|median| 0.0000299 in normal ranges, |ROC| 0.06 <= 0.50)"
"2026-03-02T13:45:07.207024Z","[13:45:07] Weekly profit (USD): 12516.18, Starting balance (USD): 11615.24, Profit %: 107.76"
"2026-03-02T13:45:07.215742Z","[13:45:07] Positive profit: Multiplier 0.25 (|perc| 107.76)"
"2026-03-02T13:45:07.231759Z","[13:45:07] Trail triggered: drop 29.78% >= 20.00% - halving multiplier to 0.12"
"2026-03-02T13:45:07.243505Z","[13:45:07] Effective base lot: 0.01"
"2026-03-02T13:45:07.248505Z","[13:45:07] Detected point value: 0.001, digits: 3, pip_size: 0.01"
"2026-03-02T13:45:07.269505Z","[13:45:07] Computed offsets: SL=3.500, TP=7.000"
"2026-03-02T13:45:07.291384Z","[13:45:07] Final SL: 5395.961, TP: 5385.461 for SELL at 5392.461"
"2026-03-02T13:45:07.607390Z","[13:45:07] Order placed: SELL 0.3 lots at 5392.461"
"2026-03-02T13:45:07.615389Z","[13:45:07] Normal/ROC trade: Reset flip pause/counter"
"2026-03-02T13:45:07.626135Z","[13:45:07] About to save prediction..."
"2026-03-02T13:45:07.631131Z","[13:45:07] Attempting to save prediction to: predictions_2026-03-02.csv"
"2026-03-02T13:45:07.655943Z","[13:45:07] Appended to existing predictions CSV"
"2026-03-02T13:45:07.682463Z","[13:45:07] Prediction saved successfully to CSV"
"2026-03-02T13:45:07.688125Z","[13:45:07] Prediction generated: median_return=-0.0000299, action=SELL, executed=True, roc=-0.06, flip_consec=0, pause_flips=False"
"2026-03-02T13:46:07.732164Z","[13:46:07] Trading loop iteration 850"
"2026-03-02T13:46:07.822006Z","[13:46:07] Fetched 10000 bars - Processing..."
"2026-03-02T13:46:42.665245Z","[13:46:42] Signal balance: Bullish=2481, Bearish=2616"
"2026-03-02T13:46:42.739175Z","[13:46:42] Data processed. Shape reduced from (10000, 25) to (9967, 25)"
"2026-03-02T13:47:42.506412Z","[13:47:42] Client error: Submit button clicked: admin-form"
"2026-03-02T13:47:42.529628Z","[13:47:42] Client error: Form submit attempt: admin-form"
"2026-03-02T13:47:42.552832Z","[13:47:42] Received POST to /admin_login from IP: 31.185.201.232"
"2026-03-02T13:47:42.563368Z","[13:47:42] Client error: Form valid, submitting now: admin-form"
"2026-03-02T13:47:42.567365Z","[13:47:42] Admin login attempt"
"2026-03-02T13:47:42.579366Z","[13:47:42] Admin login successful"
"2026-03-02T13:49:08.351827Z","[13:49:08] Last bar median predicted return: -0.0000162"
"2026-03-02T13:49:08.370198Z","[13:49:08] Last bar signals: Bullish=False, Bearish=False"
"2026-03-02T13:49:08.381521Z","[13:49:08] Current open trades: 0"
"2026-03-02T13:49:08.404257Z","[13:49:08] ROC (EWMA-vol): 0.57 (delta=0.0000077, sigma=0.0000067)"
"2026-03-02T13:49:08.410806Z","[13:49:08] Normal range flip trade: BUY (|median| 0.0000162 in normal ranges, high ROC 0.57 > 0.50)"
"2026-03-02T13:49:08.417834Z","[13:49:08] Weekly profit (USD): 12411.18, Starting balance (USD): 11615.24, Profit %: 106.85"
"2026-03-02T13:49:08.421829Z","[13:49:08] Positive profit: Multiplier 0.25 (|perc| 106.85)"
"2026-03-02T13:49:08.425951Z","[13:49:08] Trail triggered: drop 30.68% >= 20.00% - halving multiplier to 0.12"
"2026-03-02T13:49:08.440358Z","[13:49:08] Effective base lot: 0.01"
"2026-03-02T13:49:08.448015Z","[13:49:08] Detected point value: 0.001, digits: 3, pip_size: 0.01"
"2026-03-02T13:49:08.456190Z","[13:49:08] Computed offsets: SL=3.500, TP=7.000"
"2026-03-02T13:49:08.465301Z","[13:49:08] Final SL: 5392.254, TP: 5402.754 for BUY at 5395.754"
"2026-03-02T13:49:08.763748Z","[13:49:08] Order placed: BUY 0.3 lots at 5395.754"
"2026-03-02T13:49:08.796578Z","[13:49:08] Normal/ROC trade: Reset flip pause/counter"
"2026-03-02T13:49:08.834310Z","[13:49:08] About to save prediction..."
"2026-03-02T13:49:08.855476Z","[13:49:08] Attempting to save prediction to: predictions_2026-03-02.csv"
"2026-03-02T13:49:08.919434Z","[13:49:08] Appended to existing predictions CSV"
"2026-03-02T13:49:08.938662Z","[13:49:08] Prediction saved successfully to CSV"
"2026-03-02T13:49:08.945667Z","[13:49:08] Prediction generated: median_return=-0.0000162, action=BUY, executed=True, roc=0.57, flip_consec=0, pause_flips=False"
"2026-03-02T13:50:08.953118Z","[13:50:08] Trading loop iteration 851"
"2026-03-02T13:50:08.972526Z","[13:50:08] Fetched 10000 bars - Processing..."
"2026-03-02T13:50:40.639924Z","[13:50:40] Signal balance: Bullish=2513, Bearish=2616"
"2026-03-02T13:50:40.675622Z","[13:50:40] Data processed. Shape reduced from (10000, 25) to (9967, 25)"
"2026-03-02T13:52:32.093517Z","[13:52:32] Last bar median predicted return: 0.0000002"
"2026-03-02T13:52:32.093517Z","[13:52:32] Last bar signals: Bullish=False, Bearish=False"
"2026-03-02T13:52:32.093517Z","[13:52:32] Current open trades: 1"
"2026-03-02T13:52:32.109175Z","[13:52:32] ROC (EWMA-vol): 0.50 (delta=0.0000131, sigma=0.0000131)"
"2026-03-02T13:52:32.109175Z","[13:52:32] No static trade: |median| 0.0000002 not in ranges"
"2026-03-02T13:52:32.109175Z","[13:52:32] No trade executed"
"2026-03-02T13:52:32.118700Z","[13:52:32] About to save prediction..."
"2026-03-02T13:52:32.125223Z","[13:52:32] Attempting to save prediction to: predictions_2026-03-02.csv"
"2026-03-02T13:52:32.156569Z","[13:52:32] Appended to existing predictions CSV"
"2026-03-02T13:52:32.156569Z","[13:52:32] Prediction saved successfully to CSV"
"2026-03-02T13:52:32.172228Z","[13:52:32] Prediction generated: median_return=0.0000002, action=None, executed=False, roc=0.50, flip_consec=0, pause_flips=False"
